geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP2B1-AS1,92.59976126984847,-1.0266708835581844,0.08200846356147871,-12.51908448191481,5.870840641310238e-36,7.700845894626965e-35
RHOU,1784.9839695602582,-1.4461691855259675,0.11553431455353787,-12.517226515035253,6.00986771141628e-36,7.880958164231006e-35
AC110772.1,1.3573429015229352,-2.7124927469549642,0.21673626834300763,-12.515176936894397,6.167030227485553e-36,8.082435192260817e-35
ADCY6-DT,16.333856231252113,1.6561429771248826,0.13236032294875089,12.512382413619004,6.387915463331753e-36,8.369536143297692e-35
AC025569.1,27.150189888391566,-1.713075470745395,0.13692458405641433,-12.511087636677358,6.492905412656623e-36,8.502243948258628e-35
F3,1803.6492014154803,-1.6880610339115152,0.1349462640831494,-12.509134990735188,6.654491735235189e-36,8.711351880194002e-35
CLDN25,6.292477236174596,4.128419559701957,0.33009439679091224,12.506784725331077,6.854289589560816e-36,8.97034884073529e-35
TAP1,6192.371631584568,1.470635827879104,0.1175982361438928,12.505594268264698,6.957754303821831e-36,9.103160994142733e-35
MT1X,590.8352598207398,-1.7337611903786057,0.13863927094656003,-12.505556171360006,6.961090875958277e-36,9.104932392384845e-35
H2BC14,5.295750309292865,4.283515735858997,0.3425775779989624,12.503783116453615,7.118148832845114e-36,9.305059745253236e-35
GFAP,96.91261592079343,-2.384087107539965,0.19071443864151355,-12.500821251511743,7.388404366295371e-36,9.65010505441929e-35
LAMC1-AS1,11.59830738169093,-1.6865859510047851,0.1349179679669501,-12.500825326823305,7.388025596832564e-36,9.65010505441929e-35
C5orf66,56.60493648091657,1.1989389795574943,0.09593526366639127,12.497375143792045,7.715700812362515e-36,1.0071862660776685e-34
NBPF4,123.93353922881808,3.1837939677587728,0.2547915628856024,12.495680515089303,7.881893906134175e-36,1.0282960620778401e-34
AL032819.1,6.457289868048394,3.010260492447507,0.2409666492092832,12.492436203621896,8.210052174587889e-36,1.070500357789891e-34
AL645768.1,29.129747546857562,2.902543818086718,0.23235173434994927,12.492025618862577,8.252538557444627e-36,1.0754294216047945e-34
CCNO,752.1899281079994,2.4724842082715632,0.19792727662771986,12.491882121543272,8.267438799464652e-36,1.0770655091852913e-34
CAPN3,117.192083550299,-1.474978906383768,0.1180755200664346,-12.49182646457012,8.273225210653908e-36,1.077250844200247e-34
EPB41L4B,2038.615306249085,-1.1666034910958996,0.09338936853692319,-12.491823313214304,8.27355296364408e-36,1.077250844200247e-34
AC040173.1,5.644344538155885,-2.6751169804347175,0.21418217656057653,-12.489914069381594,8.474512278370183e-36,1.103103819046468e-34
SEMA5A,2663.602679964783,-1.4284754105028152,0.11437679738659802,-12.48920623012824,8.550242749875898e-36,1.1126460691486282e-34
FDXR,1026.6660326835442,1.250125915876412,0.10012923151210622,12.485124443657238,9.000250688276228e-36,1.1705181494814915e-34
MAP3K4-AS1,323.1941927684271,1.3114789349654081,0.10507263006329377,12.481641833609741,9.402754663898734e-36,1.221506937567812e-34
MICALL2,1771.2598362717715,1.1019129927742495,0.08829528041984276,12.479862882077834,9.615208953598839e-36,1.248400454555045e-34
FHDC1,1396.2394058337804,1.0592911851252356,0.0848809582720231,12.47972698105577,9.631633926427456e-36,1.2501795500376711e-34
FBXL19-AS1,285.72081918771426,1.272705382022548,0.10198659670326618,12.479143565556285,9.702462759524905e-36,1.2590172288942138e-34
RHOF,24.897156335143315,1.4964781034845,0.11995118387936052,12.475726000249946,1.012788674779684e-35,1.3127376322864078e-34
AL358913.1,8.129030601972225,4.477509675456124,0.3589792480811598,12.472892790849645,1.0494583929685406e-35,1.35988368454555e-34
AC010326.3,348.22095787206337,1.2814174880655,0.10275707636925782,12.47035759815434,1.0833877435958421e-35,1.4034531833329156e-34
FSD1,39.57866247764851,2.691507842203576,0.21589412583269718,12.46679515629483,1.1329146640204964e-35,1.4671979728091725e-34
SLCO5A1,95.64174580873008,2.221229098838989,0.17819176504216563,12.465385806764854,1.153123541873945e-35,1.4925279710675642e-34
AC007255.1,80.65601975681264,1.8778947384063658,0.15074226344901825,12.4576525218588,1.2705573828725573e-35,1.6431373329669516e-34
AC121758.2,3.1341392221069393,3.0152324882314927,0.2420877381762579,12.455122720987129,1.3114959391838066e-35,1.6956032661919469e-34
PRC1,17.131872908037746,1.3689634900043945,0.10993491599929597,12.452490435460572,1.355484725142057e-35,1.7509964847453919e-34
LINC01354,47.59595744239984,-2.025557219005495,0.16270784564890003,-12.449044549310512,1.415292677131306e-35,1.8272275966235864e-34
JAKMIP1,8.796310759612089,2.604681219467091,0.20927305500328175,12.446328646687196,1.464272466441833e-35,1.889401081101666e-34
MAGED2,43883.4521822095,1.2715583121779641,0.10219010189180536,12.443067270098599,1.5253198797764036e-35,1.9670672518666604e-34
PRX,495.9074779714684,-1.1911235804135591,0.09574582281246422,-12.440475682647728,1.5756277640471563e-35,2.0308042045562042e-34
NUDT1,911.9292053267394,1.1107056657791268,0.08929090396658809,12.439180436506092,1.601385559608367e-35,2.0634239352944735e-34
H3P47,23.18182701708783,1.0540026358099495,0.08474530235146932,12.437298665106185,1.6395544801715498e-35,2.110828718612786e-34
AC006960.1,0.6005385282226288,-2.384703202667753,0.1918546300128124,-12.429740176239157,1.8021915553727075e-35,2.318264504128315e-34
FUT7,34.488630695584156,2.035769335188094,0.16378414769915,12.429587135181942,1.8056449880286505e-35,2.322056420757203e-34
HELZ2,3840.4032310485054,1.1517848655531386,0.09269339416452041,12.425749169448357,1.8944333600354257e-35,2.434874424654544e-34
AP000445.1,3.77178393348117,-3.758940093479251,0.3025406693977279,-12.424577829361677,1.9223856784272448e-35,2.469832542770949e-34
LINC01978,12.30097567189349,2.1436831499512294,0.17253587943124193,12.424564426934275,1.9227078676058058e-35,2.469832542770949e-34
MECOM,839.334823637114,-1.2002521703748357,0.09661578046993136,-12.422941309762297,1.9621263400102024e-35,2.5197630847955406e-34
CNKSR2,113.27492717364532,-1.990075070224981,0.1602230599035266,-12.420653253178687,2.0190607153556113e-35,2.5921533472540045e-34
